Žurnāls: ppo_trader_Realistic Mode, OP - 0.000898 (Main)_BTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.000898 (Main)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 771,726 sveces  |  2019-01-05 05:00:00 → 2026-05-10 16:05:00
Izmantojam     : 330,740 sveces  |  2023-03-19 05:05:00 → 2026-05-10 16:05:00
Apmācība (~2g) : 0..220,493  (2023-03-19 05:05:00 → 2025-04-22 20:50:00)
Tests  (~1g)   : 220,493..330,740  (2025-04-22 20:55:00 → 2026-05-10 16:05:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.000898 (Main)_BTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00161  -0.0009  0.0360  1.300?    0.0%  -0.902  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00141  -0.0007  0.0231  1.307?    0.0%  -0.093  3.00e-04  30.1%/25.8%/26.2%/18.0%
     1,536     3    -0.00138  -0.0001  0.0176  1.291?    0.0%  +0.219  3.00e-04  29.7%/26.2%/25.0%/19.1%
     2,048     4    -0.00133  -0.0003  0.0122  1.302?    0.0%  -0.074  2.99e-04  29.7%/30.3%/21.9%/18.2%
     2,560     5    -0.00135  -0.0002  0.0119  1.296?    0.0%  -0.520  2.99e-04  29.3%/27.3%/25.0%/18.4%
     3,072     6    -0.00139  -0.0004  0.0108  1.307→    0.0%  +0.085  2.99e-04  23.0%/27.0%/30.7%/19.3%
     3,584     7    -0.00141  -0.0002  0.0101  1.296→    0.0%  -0.194  2.98e-04  27.7%/27.1%/25.4%/19.7%
     4,096     8    -0.00139  -0.0003  0.0074  1.310→    0.0%  -0.193  2.98e-04  29.1%/23.8%/28.5%/18.6%
     4,608     9    -0.00141  -0.0004  0.0074  1.307↑    0.0%  +0.561  2.97e-04  27.7%/28.1%/24.8%/19.3%
     5,120    10    -0.00140  -0.0007  0.0072  1.307→    0.0%  -0.419  2.97e-04  27.7%/29.1%/25.6%/17.6%
     5,632    11    -0.00140  -0.0002  0.0084  1.307→    0.0%  +0.171  2.96e-04  24.8%/29.3%/26.0%/19.9%
     6,144    12    -0.00140  -0.0003  0.0052  1.314↑    0.0%  -0.558  2.95e-04  30.3%/30.1%/24.2%/15.4%
     6,656    13    -0.00141  -0.0006  0.0041  1.313↑    0.0%  -1.527  2.94e-04  24.0%/29.3%/27.7%/18.9%
     7,168    14    -0.00144  -0.0001  0.0044  1.311↑    0.0%  -0.463  2.93e-04  25.6%/26.8%/29.1%/18.6%
     7,680    15    -0.00144  -0.0003  0.0036  1.300↑    0.0%  -1.226  2.92e-04  27.1%/25.4%/28.3%/19.1%
     8,192    16    -0.00141  +0.0006  0.0038  1.294→    0.0%  -0.228  2.91e-04  28.5%/27.9%/24.2%/19.3%
     8,704    17    -0.00140  -0.0003  0.0030  1.308→    0.0%  +0.044  2.90e-04  27.7%/27.7%/25.6%/18.9%
     9,216    18    -0.00142  -0.0004  0.0035  1.303→    0.0%  -0.395  2.89e-04  29.5%/29.1%/23.2%/18.2%
     9,728    19    -0.00147  -0.0005  0.0041  1.315→    0.0%  -0.550  2.88e-04  23.8%/27.5%/31.4%/17.2%
    10,240    20    -0.00149  +0.0002  0.0024  1.307↑    0.0%  -0.520  2.86e-04  24.8%/27.9%/29.1%/18.2%
    10,752    21    -0.00148  -0.0004  0.0029  1.310↑    0.0%  -1.985  2.85e-04  25.8%/28.1%/28.3%/17.8%
    11,264    22    -0.00155  -0.0001  0.0025  1.299↑    0.0%  -0.034  2.84e-04  24.2%/29.7%/25.4%/20.7%
    11,776    23    -0.00155  -0.0001  0.0027  1.299↑    0.0%  -0.772  2.82e-04  27.9%/26.8%/26.4%/18.9%
    12,288    24    -0.00160  +0.0002  0.0026  1.315↑    0.0%  -1.286  2.81e-04  28.1%/28.9%/25.6%/17.4%
    12,800    25    -0.00164  -0.0004  0.0029  1.301→    0.0%  +0.385  2.79e-04  26.4%/28.9%/24.2%/20.5%
    13,312    26    -0.00169  -0.0004  0.0022  1.321↑    0.0%  +0.218  2.77e-04  23.4%/29.7%/30.1%/16.8%
    13,824    27    -0.00174  -0.0004  0.0025  1.312↑    0.0%  +0.436  2.75e-04  27.1%/29.5%/26.8%/16.6%
    14,336    28    -0.00175  -0.0001  0.0018  1.314↑    0.0%  -1.168  2.74e-04  27.1%/27.1%/29.1%/16.6%
    14,848    29    -0.00170  -0.0005  0.0022  1.307↑    0.0%  -0.558  2.72e-04  24.0%/29.3%/26.8%/19.9%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.000898 (Main)_BTC\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00173  -0.0008  0.0021  1.309↑    0.0%  -0.686  2.70e-04  25.0%/25.8%/30.1%/19.1%
    15,872    31    -0.00173  -0.0001  0.0016  1.299↑    0.0%  -2.081  2.68e-04  29.1%/24.0%/29.5%/17.4%
    16,384    32    -0.00168  -0.0004  0.0017  1.293↑    0.0%  -1.867  2.66e-04  29.7%/24.2%/25.4%/20.7%
    16,896    33    -0.00169  -0.0005  0.0016  1.310↑    0.0%  -2.337  2.64e-04  27.7%/30.1%/24.2%/18.0%
    17,408    34    -0.00167  -0.0003  0.0020  1.312↑    0.0%  -1.691  2.62e-04  24.8%/31.6%/25.6%/18.0%
    17,920    35    -0.00174  -0.0001  0.0029  1.307↑    0.0%  -0.754  2.60e-04  26.8%/29.1%/26.0%/18.2%
    18,432    36    -0.00178  -0.0002  0.0024  1.304→    0.0%  -1.117  2.57e-04  26.6%/26.8%/27.1%/19.5%
    18,944    37    -0.00182  -0.0002  0.0023  1.298→    0.0%  +0.245  2.55e-04  27.5%/27.9%/25.8%/18.8%
    19,456    38    -0.00183  -0.0004  0.0026  1.308→    0.0%  +0.041  2.53e-04  27.1%/29.5%/23.6%/19.7%
    19,968    39    -0.00190  -0.0003  0.0018  1.300→    0.0%  +0.109  2.50e-04  30.9%/25.6%/26.2%/17.4%
    20,480    40    -0.00189  -0.0001  0.0017  1.305→    0.0%  -0.199  2.48e-04  24.6%/28.9%/28.1%/18.4%
    20,992    41    -0.00190  -0.0008  0.0018  1.302→    0.0%  +0.159  2.45e-04  27.1%/26.2%/26.6%/20.1%
    21,504    42    -0.00193  -0.0005  0.0017  1.315→    0.0%  -0.136  2.43e-04  29.1%/28.9%/25.4%/16.6%
    22,016    43    -0.00196  +0.0004  0.0015  1.302→    0.0%  +0.101  2.40e-04  29.1%/25.8%/26.2%/18.9%
