Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_SOL.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 563,641 sveces  |  2020-08-15 11:00:00 → 2025-12-25 13:20:00
Izmantojam     : 241,561 sveces  |  2023-09-08 19:20:00 → 2025-12-25 13:20:00
Apmācība (~2g) : 0..161,040  (2023-09-08 19:20:00 → 2025-03-20 23:15:00)
Tests  (~1g)   : 161,040..241,561  (2025-03-20 23:20:00 → 2025-12-25 13:20:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_SOL/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00399  -0.0013  0.0372  1.299?    0.0%  -0.135  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00358  -0.0003  0.0271  1.305?    0.0%  -0.642  3.00e-04  30.7%/25.0%/26.4%/18.0%
     1,536     3    -0.00375  -0.0005  0.0180  1.289?    0.0%  -1.189  3.00e-04  30.7%/24.2%/25.8%/19.3%
     2,048     4    -0.00416  +0.0000  0.0198  1.301?    0.0%  -0.401  2.99e-04  30.5%/29.9%/21.7%/18.0%
     2,560     5    -0.00429  -0.0006  0.0142  1.291?    0.0%  +0.370  2.99e-04  30.9%/24.2%/26.4%/18.6%
     3,072     6    -0.00452  -0.0003  0.0167  1.305→    0.0%  +0.540  2.99e-04  24.0%/26.4%/29.7%/19.9%
     3,584     7    -0.00483  -0.0000  0.0131  1.298→    0.0%  -0.241  2.98e-04  27.5%/27.0%/25.8%/19.7%
     4,096     8    -0.00495  -0.0004  0.0149  1.306→    0.0%  +0.724  2.98e-04  29.3%/23.4%/27.9%/19.3%
     4,608     9    -0.00510  -0.0004  0.0123  1.306→    0.0%  -0.588  2.97e-04  28.9%/26.6%/25.6%/18.9%
     5,120    10    -0.00505  -0.0004  0.0105  1.301→    0.0%  +0.057  2.97e-04  27.0%/27.5%/25.8%/19.7%
     5,632    11    -0.00504  +0.0001  0.0082  1.311→    0.0%  +0.062  2.96e-04  25.6%/27.9%/27.0%/19.5%
     6,144    12    -0.00507  -0.0001  0.0075  1.315↑    0.0%  +0.163  2.95e-04  29.7%/29.7%/24.6%/16.0%
     6,656    13    -0.00500  +0.0000  0.0070  1.315↑    0.0%  -0.259  2.94e-04  25.4%/27.3%/28.7%/18.6%
     7,168    14    -0.00482  -0.0009  0.0063  1.304↑    0.0%  +0.270  2.93e-04  27.0%/24.6%/28.9%/19.5%
     7,680    15    -0.00479  -0.0000  0.0060  1.295↑    0.0%  -0.052  2.92e-04  27.5%/25.2%/28.1%/19.1%
     8,192    16    -0.00449  -0.0003  0.0054  1.287→    0.0%  +0.326  2.91e-04  31.8%/24.2%/24.8%/19.1%
     8,704    17    -0.00414  -0.0010  0.0047  1.298→    0.0%  -0.261  2.90e-04  28.3%/25.8%/26.0%/19.9%
     9,216    18    -0.00386  -0.0011  0.0036  1.298→    0.0%  +0.122  2.89e-04  31.8%/28.1%/22.3%/17.8%
     9,728    19    -0.00349  -0.0006  0.0044  1.308→    0.0%  -0.051  2.88e-04  26.4%/24.8%/31.2%/17.6%
    10,240    20    -0.00334  -0.0019  0.0051  1.302→    0.0%  -0.121  2.86e-04  27.1%/25.8%/29.3%/17.8%
    10,752    21    -0.00324  -0.0005  0.0044  1.291→    0.0%  +0.004  2.85e-04  27.5%/25.2%/27.5%/19.7%
    11,264    22    -0.00344  +0.0003  0.0050  1.290→    0.0%  +0.255  2.84e-04  26.4%/27.7%/24.2%/21.7%
    11,776    23    -0.00347  -0.0012  0.0039  1.286→    0.0%  +0.649  2.82e-04  33.2%/23.0%/24.8%/18.9%
    12,288    24    -0.00362  +0.0000  0.0043  1.305→    0.0%  +0.532  2.81e-04  28.9%/26.6%/25.4%/19.1%
    12,800    25    -0.00352  -0.0008  0.0032  1.289→    0.0%  +0.618  2.79e-04  30.3%/27.0%/23.2%/19.5%
    13,312    26    -0.00378  -0.0009  0.0047  1.312→    0.0%  +0.615  2.77e-04  27.9%/26.6%/28.5%/17.0%
    13,824    27    -0.00377  -0.0000  0.0037  1.294→    0.0%  +0.609  2.75e-04  34.0%/24.2%/25.2%/16.6%
    14,336    28    -0.00365  +0.0002  0.0030  1.289→    0.0%  +0.144  2.74e-04  32.6%/22.1%/26.8%/18.6%
    14,848    29    -0.00381  -0.0012  0.0061  1.299→    0.0%  +0.275  2.72e-04  27.5%/26.4%/26.6%/19.5%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_SOL\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00377  -0.0005  0.0039  1.296→    0.0%  +0.749  2.70e-04  29.3%/23.2%/28.7%/18.8%
    15,872    31    -0.00377  -0.0013  0.0062  1.287→    0.0%  +0.476  2.68e-04  30.7%/23.0%/27.1%/19.1%
    16,384    32    -0.00349  +0.0005  0.0042  1.264↓    0.0%  +0.706  2.66e-04  35.5%/19.3%/23.8%/21.3%
    16,896    33    -0.00326  +0.0003  0.0035  1.285↓    0.0%  +0.535  2.64e-04  32.4%/27.0%/22.3%/18.4%
    17,408    34    -0.00322  -0.0012  0.0066  1.296↓    0.0%  +0.630  2.62e-04  30.3%/27.3%/24.8%/17.6%
